Tiempo;Desplazamiento;Fuerza;Galga Longitudinal (5);Galga Transversal (6)
(s);(mm);(kN);(V);(V)
"0,0000";"0,0295";"0,0000";"1,2345";"1,2299"
"0,0460";"0,0295";"0,0000";"1,2345";"1,2299"
"0,2460";"0,0420";"0,0093";"1,2343";"1,2317"
"0,4460";"0,0589";"0,0216";"1,2344";"1,2342"
"0,6460";"0,0752";"0,0334";"1,2338";"1,2367"
"0,8460";"0,0919";"0,0453";"1,2337";"1,2393"
"1,0460";"0,1087";"0,0572";"1,2331";"1,2420"
"1,2460";"0,1255";"0,0690";"1,2327";"1,2447"
"1,4460";"0,1420";"0,0804";"1,2323";"1,2473"
"1,6460";"0,1587";"0,0918";"1,2320";"1,2499"
"1,8460";"0,1756";"0,1034";"1,2317";"1,2526"
"2,0460";"0,1922";"0,1146";"1,2313";"1,2553"
"2,2460";"0,2085";"0,1254";"1,2309";"1,2578"
"2,4460";"0,2253";"0,1364";"1,2306";"1,2606"
"2,6460";"0,2423";"0,1474";"1,2302";"1,2633"
"2,8460";"0,2588";"0,1579";"1,2302";"1,2659"
"3,0460";"0,2753";"0,1682";"1,2295";"1,2685"
"3,2460";"0,2922";"0,1783";"1,2292";"1,2711"
"3,4460";"0,3090";"0,1884";"1,2289";"1,2736"
"3,6460";"0,3254";"0,1977";"1,2287";"1,2760"
"3,8460";"0,3419";"0,2067";"1,2282";"1,2783"
"4,0460";"0,3587";"0,2142";"1,2280";"1,2803"
"4,2460";"0,3755";"0,2211";"1,2277";"1,2820"
"4,4460";"0,3922";"0,2296";"1,2275";"1,2842"
"4,6460";"0,4087";"0,2370";"1,2272";"1,2860"
"4,8460";"0,4256";"0,2442";"1,2270";"1,2879"
"5,0460";"0,4423";"0,2513";"1,2267";"1,2897"
"5,2460";"0,4586";"0,2578";"1,2265";"1,2915"
"5,4460";"0,4751";"0,2644";"1,2262";"1,2932"
"5,6460";"0,4921";"0,2712";"1,2261";"1,2949"
"5,8460";"0,5089";"0,2772";"1,2258";"1,2965"
"6,0460";"0,5254";"0,2838";"1,2258";"1,2982"
"6,2460";"0,5421";"0,2905";"1,2253";"1,3000"
"6,4460";"0,5589";"0,2974";"1,2251";"1,3019"
"6,6460";"0,5756";"0,3042";"1,2249";"1,3036"
"6,8460";"0,5920";"0,3108";"1,2247";"1,3054"
"7,0460";"0,6085";"0,3176";"1,2244";"1,3072"
"7,2460";"0,6254";"0,3246";"1,2242";"1,3091"
