Tiempo;Desplazamiento;Fuerza;Galga Longitudinal (5);Galga Transversal (6)
(s);(mm);(kN);(V);(V)
"0,0000";"-0,0312";"0,0000";"1,2351";"1,2298"
"0,0370";"-0,0312";"0,0000";"1,2351";"1,2298"
"0,2370";"-0,0195";"0,0175";"1,2344";"1,2316"
"0,4370";"-0,0026";"0,0424";"1,2333";"1,2354"
"0,6370";"0,0142";"0,0670";"1,2313";"1,2388"
"0,8370";"0,0310";"0,0914";"1,2304";"1,2424"
"1,0370";"0,0477";"0,1153";"1,2285";"1,2456"
"1,2370";"0,0643";"0,1386";"1,2271";"1,2489"
"1,4370";"0,0812";"0,1621";"1,2257";"1,2522"
"1,6370";"0,0979";"0,1854";"1,2244";"1,2554"
"1,8370";"0,1143";"0,2080";"1,2229";"1,2586"
"2,0370";"0,1307";"0,2307";"1,2220";"1,2619"
"2,2370";"0,1476";"0,2534";"1,2200";"1,2649"
"2,4370";"0,1644";"0,2762";"1,2188";"1,2683"
"2,6370";"0,1810";"0,2987";"1,2173";"1,2715"
"2,8370";"0,1976";"0,3204";"1,2161";"1,2746"
"3,0370";"0,2146";"0,3430";"1,2146";"1,2778"
"3,2370";"0,2311";"0,3640";"1,2135";"1,2808"
"3,4370";"0,2474";"0,3849";"1,2121";"1,2838"
"3,6370";"0,2640";"0,4059";"1,2108";"1,2867"
"3,8370";"0,2811";"0,4270";"1,2095";"1,2897"
"4,0370";"0,2978";"0,4480";"1,2084";"1,2927"
"4,2370";"0,3143";"0,4677";"1,2071";"1,2954"
"4,4370";"0,3310";"0,4872";"1,2060";"1,2980"
"4,6370";"0,3479";"0,5064";"1,2047";"1,3006"
"4,8370";"0,3644";"0,5243";"1,2037";"1,3032"
"5,0370";"0,3808";"0,5413";"1,2026";"1,3057"
"5,2370";"0,3975";"0,5586";"1,2016";"1,3082"
"5,4370";"0,4144";"0,5758";"1,2005";"1,3108"
"5,6370";"0,4311";"0,5922";"1,1997";"1,3132"
"5,8370";"0,4476";"0,6081";"1,1984";"1,3158"
"6,0370";"0,4645";"0,6241";"1,1974";"1,3181"
"6,2370";"0,4813";"0,6397";"1,1965";"1,3206"
"6,4370";"0,4977";"0,6546";"1,1955";"1,3228"
"6,6370";"0,5141";"0,6689";"1,1947";"1,3251"
"6,8370";"0,5309";"0,6837";"1,1937";"1,3275"
"7,0370";"0,5478";"0,6985";"1,1928";"1,3296"
"7,2370";"0,5643";"0,7127";"1,1919";"1,3318"
"7,4370";"0,5810";"0,7268";"1,1910";"1,3341"
"7,6370";"0,5979";"0,7413";"1,1901";"1,3363"
"7,8370";"0,6146";"0,7555";"1,1892";"1,3385"
"8,0370";"0,6309";"0,7689";"1,1883";"1,3404"
"8,2370";"0,6474";"0,7823";"1,1874";"1,3424"
"8,4370";"0,6642";"0,7964";"1,1864";"1,3446"
"8,6370";"0,6811";"0,8103";"1,1855";"1,3467"
"8,8370";"0,6977";"0,8235";"1,1847";"1,3488"
"9,0370";"0,7143";"0,8368";"1,1838";"1,3509"
"9,2370";"0,7312";"0,8503";"1,1829";"1,3528"
"9,4370";"0,7479";"0,8632";"1,1821";"1,3549"
"9,6370";"0,7642";"0,8756";"1,1812";"1,3569"
"9,8370";"0,7808";"0,8881";"1,1805";"1,3590"
"10,0370";"0,7976";"0,9011";"1,1796";"1,3611"
"10,2370";"0,8145";"0,9138";"1,1788";"1,3629"
"10,4370";"0,8310";"0,9261";"1,1779";"1,3650"
"10,6370";"0,8477";"0,9386";"1,1772";"1,3669"
"10,8370";"0,8646";"0,9513";"1,1762";"1,3692"
"11,0370";"0,8812";"0,9635";"1,1755";"1,3712"
"11,2370";"0,8975";"0,9753";"1,1745";"1,3732"
"11,4370";"0,9142";"0,9875";"1,1738";"1,3754"
"11,6370";"0,9310";"0,9999";"1,1728";"1,3774"
"11,8370";"0,9478";"1,0121";"1,1721";"1,3796"
"12,0370";"0,9642";"1,0238";"1,1712";"1,3816"
"12,2370";"0,9811";"1,0362";"1,1704";"1,3837"
"12,4370";"0,9980";"1,0483";"1,1695";"1,3858"
"12,6370";"1,0143";"1,0598";"1,1686";"1,3877"
"12,8370";"1,0308";"1,0715";"1,1678";"1,3898"
"13,0370";"1,0476";"1,0834";"1,1668";"1,3918"
"13,2370";"1,0644";"1,0955";"1,1662";"1,3940"
"13,4370";"1,0811";"1,1072";"1,1650";"1,3962"
"13,6370";"1,0976";"1,1186";"1,1642";"1,3984"
"13,8370";"1,1145";"1,1305";"1,1634";"1,4006"
"14,0370";"1,1313";"1,1423";"1,1625";"1,4029"
"14,2370";"1,1477";"1,1535";"1,1616";"1,4050"
"14,4370";"1,1641";"1,1647";"1,1607";"1,4071"
"14,6370";"1,1809";"1,1763";"1,1598";"1,4094"
"14,8370";"1,1978";"1,1879";"1,1589";"1,4116"
"15,0370";"1,2144";"1,1991";"1,1580";"1,4138"
"15,2370";"1,2310";"1,2103";"1,1572";"1,4161"
"15,4370";"1,2479";"1,2218";"1,1564";"1,4183"
