Tiempo;Desplazamiento;Fuerza;Galga Longitudinal (5);Galga Transversal (6)
(s);(mm);(kN);(V);(V)
"0,0000";"-0,0313";"0,0000";"1,2431";"1,2232"
"0,0290";"-0,0313";"0,0000";"1,2432";"1,2232"
"0,2290";"-0,0208";"0,1001";"1,2451";"1,2225"
"0,4290";"-0,0036";"0,2602";"1,2489";"1,2213"
"0,6290";"0,0131";"0,4053";"1,2519";"1,2202"
"0,8290";"0,0300";"0,5145";"1,2542";"1,2193"
"1,0290";"0,0466";"0,5861";"1,2556";"1,2188"
"1,2290";"0,0630";"0,6418";"1,2568";"1,2184"
"1,4290";"0,0797";"0,6947";"1,2580";"1,2180"
"1,6290";"0,0965";"0,7469";"1,2591";"1,2176"
"1,8290";"0,1133";"0,7981";"1,2603";"1,2172"
"2,0290";"0,1298";"0,8469";"1,2614";"1,2169"
"2,2290";"0,1466";"0,8982";"1,2626";"1,2165"
"2,4290";"0,1635";"0,9517";"1,2637";"1,2161"
"2,6290";"0,1799";"1,0035";"1,2649";"1,2157"
"2,8290";"0,1963";"1,0546";"1,2660";"1,2153"
"3,0290";"0,2131";"1,1093";"1,2677";"1,2149"
"3,2290";"0,2299";"1,1662";"1,2686";"1,2145"
"3,4290";"0,2466";"1,2231";"1,2699";"1,2141"
"3,6290";"0,2632";"1,2787";"1,2713";"1,2136"
"3,8290";"0,2799";"1,3371";"1,2726";"1,2131"
"4,0290";"0,2967";"1,3973";"1,2742";"1,2126"
"4,2290";"0,3132";"1,4548";"1,2755";"1,2122"
"4,4290";"0,3296";"1,5111";"1,2770";"1,2117"
"4,6290";"0,3465";"1,5715";"1,2787";"1,2112"
"4,8290";"0,3634";"1,6328";"1,2804";"1,2106"
"5,0290";"0,3799";"1,6907";"1,2823";"1,2101"
"5,2290";"0,3964";"1,7482";"1,2841";"1,2096"
"5,4290";"0,4134";"1,8091";"1,2862";"1,2090"
"5,6290";"0,4300";"1,8679";"1,2880";"1,2084"
"5,8290";"0,4464";"1,9233";"1,2901";"1,2078"
"6,0290";"0,4630";"1,9790";"1,2922";"1,2072"
"6,2290";"0,4798";"2,0359";"1,2948";"1,2066"
"6,4290";"0,4966";"2,0921";"1,2969";"1,2059"
"6,6290";"0,5132";"2,1454";"1,2994";"1,2053"
"6,8290";"0,5298";"2,1974";"1,3018";"1,2046"
"7,0290";"0,5467";"2,2511";"1,3046";"1,2038"
"7,2290";"0,5634";"2,3019";"1,3072";"1,2031"
"7,4290";"0,5796";"2,3475";"1,3100";"1,2024"
"7,6290";"0,5963";"2,3936";"1,3131";"1,2016"
"7,8290";"0,6133";"2,4405";"1,3162";"1,2008"
"8,0290";"0,6300";"2,4843";"1,3194";"1,2000"
"8,2290";"0,6465";"2,5243";"1,3227";"1,1992"
"8,4290";"0,6633";"2,5637";"1,3262";"1,1984"
"8,6290";"0,6801";"2,6021";"1,3296";"1,1975"
"8,8290";"0,6965";"2,6372";"1,3332";"1,1967"
"9,0290";"0,7130";"2,6693";"1,3370";"1,1958"
"9,2290";"0,7297";"2,7007";"1,3410";"1,1949"
"9,4290";"0,7466";"2,7327";"1,3454";"1,1939"
"9,6290";"0,7633";"2,7626";"1,3494";"1,1929"
"9,8290";"0,7798";"2,7878";"1,3537";"1,1919"
"10,0290";"0,7966";"2,8138";"1,3584";"1,1909"
"10,2290";"0,8135";"2,8392";"1,3632";"1,1898"
"10,4290";"0,8298";"2,8600";"1,3685";"1,1888"
"10,6290";"0,8463";"2,8781";"1,3733";"1,1877"
"10,8290";"0,8631";"2,8969";"1,3787";"1,1865"
"11,0290";"0,8800";"2,9150";"1,3842";"1,1854"
"11,2290";"0,8966";"2,9302";"1,3898";"1,1842"
"11,4290";"0,9132";"2,9423";"1,3958";"1,1831"
"11,6290";"0,9300";"2,9553";"1,4022";"1,1819"
"11,8290";"0,9467";"2,9672";"1,4080";"1,1807"
"12,0290";"0,9631";"2,9766";"1,4147";"1,1795"
"12,2290";"0,9796";"2,9822";"1,4207";"1,1783"
"12,4290";"0,9964";"2,9907";"1,4275";"1,1771"
"12,6290";"1,0133";"2,9971";"1,4341";"1,1760"
"12,8290";"1,0299";"3,0028";"1,4410";"1,1748"
"13,0290";"1,0465";"3,0066";"1,4479";"1,1737"
"13,2290";"1,0634";"3,0095";"1,4548";"1,1726"
"13,4290";"1,0800";"3,0160";"1,4616";"1,1715"
"13,6290";"1,0963";"3,0171";"1,4685";"1,1705"
"13,8290";"1,1130";"3,0182";"1,4755";"1,1694"
"14,0290";"1,1299";"3,0208";"1,4827";"1,1684"
"14,2290";"1,1466";"3,0233";"1,4894";"1,1674"
"14,4290";"1,1631";"3,0192";"1,4960";"1,1665"
"14,6290";"1,1799";"3,0239";"1,5025";"1,1656"
"14,8290";"1,1968";"3,0272";"1,5096";"1,1647"
"15,0290";"1,2133";"3,0278";"1,5160";"1,1639"
"15,2290";"1,2296";"3,0256";"1,5223";"1,1631"
"15,4290";"1,2464";"3,0255";"1,5288";"1,1623"
"15,6290";"1,2633";"3,0272";"1,5356";"1,1615"
"15,8290";"1,2799";"3,0278";"1,5419";"1,1608"
"16,0290";"1,2965";"3,0265";"1,5482";"1,1601"
"16,2290";"1,3134";"3,0272";"1,5545";"1,1593"
"16,4290";"1,3301";"3,0289";"1,5608";"1,1587"
"16,6290";"1,3466";"3,0283";"1,5668";"1,1581"
"16,8290";"1,3629";"3,0262";"1,5729";"1,1575"
"17,0290";"1,3797";"3,0260";"1,5791";"1,1568"
"17,2290";"1,3966";"3,0273";"1,5851";"1,1562"
"17,4290";"1,4133";"3,0273";"1,5909";"1,1556"
"17,6290";"1,4299";"3,0260";"1,5968";"1,1550"
"17,8290";"1,4467";"3,0270";"1,6027";"1,1545"
"18,0290";"1,4634";"3,0289";"1,6086";"1,1539"
"18,2290";"1,4798";"3,0274";"1,6144";"1,1534"
"18,4290";"1,4963";"3,0254";"1,6201";"1,1529"
"18,6290";"1,5132";"3,0258";"1,6261";"1,1524"
"18,8290";"1,5300";"3,0271";"1,6318";"1,1519"
"19,0290";"1,5465";"3,0262";"1,6376";"1,1514"
"19,2290";"1,5631";"3,0251";"1,6435";"1,1509"
"19,4290";"1,5801";"3,0271";"1,6493";"1,1504"
"19,6290";"1,5967";"3,0282";"1,6550";"1,1500"
"19,8290";"1,6130";"3,0259";"1,6606";"1,1495"
"20,0290";"1,6297";"3,0245";"1,6663";"1,1490"
"20,2290";"1,6466";"3,0256";"1,6720";"1,1486"
"20,4290";"1,6633";"3,0266";"1,6774";"1,1481"
"20,6290";"1,6798";"3,0253";"1,6830";"1,1477"
"20,8290";"1,6965";"3,0248";"1,6886";"1,1473"
"21,0290";"1,7135";"3,0271";"1,6941";"1,1468"
"21,2290";"1,7300";"3,0272";"1,6997";"1,1463"
"21,4290";"1,7464";"3,0250";"1,7053";"1,1459"
"21,6290";"1,7629";"3,0239";"1,7107";"1,1454"
"21,8290";"1,7799";"3,0252";"1,7164";"1,1450"
"22,0290";"1,7966";"3,0259";"1,7219";"1,1446"
"22,2290";"1,8131";"3,0246";"1,7275";"1,1442"
"22,4290";"1,8300";"3,0252";"1,7332";"1,1438"
"22,6290";"1,8468";"3,0270";"1,7387";"1,1433"
"22,8290";"1,8632";"3,0263";"1,7441";"1,1429"
"23,0290";"1,8797";"3,0244";"1,7497";"1,1425"
"23,2290";"1,8964";"3,0243";"1,7552";"1,1421"
"23,4290";"1,9133";"3,0254";"1,7609";"1,1416"
"23,6290";"1,9300";"3,0258";"1,7664";"1,1412"
"23,8290";"1,9465";"3,0242";"1,7723";"1,1407"
"24,0290";"1,9633";"3,0255";"1,7779";"1,1403"
"24,2290";"1,9801";"3,0272";"1,7834";"1,1399"
"24,4290";"1,9964";"3,0258";"1,7887";"1,1394"
"24,6290";"2,0130";"3,0240";"1,7943";"1,1390"
"24,8290";"2,0298";"3,0246";"1,7996";"1,1386"
"25,0290";"2,0467";"3,0260";"1,8050";"1,1381"
"25,2290";"2,0631";"3,0250";"1,8099";"1,1377"
"25,4290";"2,0798";"3,0243";"1,8146";"1,1372"
"25,6290";"2,0967";"3,0257";"1,8199";"1,1368"
"25,8290";"2,1134";"3,0273";"1,8253";"1,1363"
"26,0290";"2,1298";"3,0256";"1,8305";"1,1359"
"26,2290";"2,1464";"3,0240";"1,8361";"1,1355"
"26,4290";"2,1631";"3,0243";"1,8415";"1,1351"
"26,6290";"2,1800";"3,0259";"1,8467";"1,1347"
"26,8290";"2,1965";"3,0247";"1,8476";"1,1343"
"27,0290";"2,2133";"3,0246";"1,8509";"1,1339"
"27,2290";"2,2301";"3,0265";"1,8552";"1,1335"
"27,4290";"2,2467";"3,0269";"1,8597";"1,1330"
"27,6290";"2,2629";"3,0244";"1,8638";"1,1326"
"27,8290";"2,2797";"3,0241";"1,8681";"1,1322"
"28,0290";"2,2965";"3,0252";"1,8721";"1,1317"
"28,2290";"2,3133";"3,0262";"1,8768";"1,1311"
"28,4290";"2,3298";"3,0245";"1,8806";"1,1307"
"28,6290";"2,3467";"3,0252";"1,8837";"1,1303"
"28,8290";"2,3634";"3,0266";"1,8861";"1,1298"
"29,0290";"2,3798";"3,0262";"1,8874";"1,1293"
"29,2290";"2,3962";"3,0242";"1,8885";"1,1288"
"29,4290";"2,4131";"3,0242";"1,8903";"1,1283"
"29,6290";"2,4300";"3,0256";"1,8924";"1,1279"
"29,8290";"2,4466";"3,0260";"1,8945";"1,1274"
"30,0290";"2,4631";"3,0239";"1,8959";"1,1269"
"30,2290";"2,4799";"3,0251";"1,8978";"1,1264"
"30,4290";"2,4967";"3,0269";"1,9002";"1,1259"
"30,6290";"2,5132";"3,0262";"1,9016";"1,1254"
"30,8290";"2,5297";"3,0242";"1,9003";"1,1249"
"31,0290";"2,5465";"3,0245";"1,8963";"1,1244"
"31,2290";"2,5633";"3,0252";"1,8948";"1,1239"
"31,4290";"2,5799";"3,0252";"1,8931";"1,1234"
"31,6290";"2,5965";"3,0243";"1,8927";"1,1228"
"31,8290";"2,6134";"3,0261";"1,8935";"1,1223"
"32,0290";"2,6301";"3,0270";"1,8943";"1,1218"
"32,2290";"2,6464";"3,0254";"1,8950";"1,1212"
"32,4290";"2,6629";"3,0237";"1,8962";"1,1207"
"32,6290";"2,6799";"3,0247";"1,8979";"1,1202"
"32,8290";"2,6966";"3,0259";"1,8998";"1,1196"
"33,0290";"2,7132";"3,0250";"1,9013";"1,1191"
"33,2290";"2,7299";"3,0246";"1,9016";"1,1186"
"33,4290";"2,7468";"3,0267";"1,9004";"1,1180"
"33,6290";"2,7633";"3,0264";"1,8962";"1,1174"
"33,8290";"2,7796";"3,0240";"1,8936";"1,1168"
"34,0290";"2,7963";"3,0236";"1,8922";"1,1162"
"34,2290";"2,8133";"3,0250";"1,8905";"1,1156"
"34,4290";"2,8300";"3,0255";"1,8870";"1,1150"
"34,6290";"2,8465";"3,0242";"1,8832";"1,1144"
"34,8290";"2,8633";"3,0241";"1,8807";"1,1138"
"35,0290";"2,8800";"3,0260";"1,8785";"1,1132"
"35,2290";"2,8966";"3,0260";"1,8768";"1,1126"
"35,4290";"2,9130";"3,0240";"1,8754";"1,1120"
"35,6290";"2,9297";"3,0235";"1,8738";"1,1114"
"35,8290";"2,9466";"3,0250";"1,8722";"1,1108"
"36,0290";"2,9633";"3,0250";"1,8697";"1,1101"
"36,2290";"2,9798";"3,0237";"1,8655";"1,1095"
"36,4290";"2,9967";"3,0250";"1,8577";"1,1088"
"36,6290";"3,0135";"3,0266";"1,8436";"1,1081"
"36,8290";"3,0298";"3,0251";"1,8118";"1,1075"
"37,0290";"3,0463";"3,0229";"1,7708";"1,1068"
"37,2290";"3,0631";"3,0232";"1,7598";"1,1061"
"37,4290";"3,0800";"3,0242";"1,7546";"1,1054"
"37,6290";"3,0965";"3,0240";"1,7506";"1,1048"
"37,8290";"3,1132";"3,0232";"1,7474";"1,1041"
"38,0290";"3,1301";"3,0246";"1,7446";"1,1033"
"38,2290";"3,1467";"3,0259";"1,7422";"1,1027"
"38,4290";"3,1631";"3,0241";"1,7404";"1,1020"
"38,6290";"3,1796";"3,0222";"1,7388";"1,1014"
"38,8290";"3,1965";"3,0235";"1,7362";"1,1007"
"39,0290";"3,2133";"3,0248";"1,7320";"1,1000"
"39,2290";"3,2298";"3,0235";"1,7264";"1,0993"
"39,4290";"3,2465";"3,0229";"1,7208";"1,0988"
"39,6290";"3,2635";"3,0249";"1,7152";"1,0984"
"39,8290";"3,2800";"3,0251";"1,7088";"1,0980"
"40,0290";"3,2964";"3,0236";"1,7009";"1,0975"
"40,2290";"3,3130";"3,0222";"1,6818";"1,0971"
"40,4290";"3,3299";"3,0230";"1,6694";"1,0966"
"40,6290";"3,3466";"3,0242";"1,6606";"1,0960"
"40,8290";"3,3632";"3,0228";"1,6533";"1,0955"
"41,0290";"3,3800";"3,0228";"1,6461";"1,0949"
"41,2290";"3,3968";"3,0248";"1,6394";"1,0945"
"41,4290";"3,4133";"3,0246";"1,6311";"1,0943"
"41,6290";"3,4296";"3,0222";"1,6254";"1,0941"
"41,8290";"3,4464";"3,0217";"1,6208";"1,0938"
"42,0290";"3,4633";"3,0230";"1,6055";"1,0938"
"42,2290";"3,4799";"3,0231";"1,6001";"1,0935"
"42,4290";"3,4964";"3,0214";"1,5871";"1,0930"
"42,6290";"3,5133";"3,0228";"1,5745";"1,0924"
"42,8290";"3,5301";"3,0240";"1,5519";"1,0919"
"43,0290";"3,5465";"3,0227";"1,5155";"1,0915"
"43,2290";"3,5630";"3,0210";"1,4809";"1,0909"
"43,4290";"3,5798";"3,0209";"1,4670";"1,0903"
"43,6290";"3,5966";"3,0222";"1,4559";"1,0898"
"43,8290";"3,6132";"3,0219";"1,4467";"1,1026"
"44,0290";"3,6298";"3,0203";"1,4412";"1,1156"
"44,2290";"3,6468";"3,0220";"1,4377";"1,1156"
"44,4290";"3,6634";"3,0230";"1,4348";"1,1152"
"44,6290";"3,6798";"3,0215";"1,4328";"1,1149"
"44,8290";"3,6963";"3,0201";"1,4307";"1,1148"
"45,0290";"3,7131";"3,0205";"1,4295";"1,1144"
"45,2290";"3,7300";"3,0213";"1,4254";"1,1140"
"45,4290";"3,7465";"3,0202";"1,4220";"1,1136"
"45,6290";"3,7632";"3,0195";"1,4197";"1,1164"
"45,8290";"3,7801";"3,0213";"1,4184";"1,1179"
"46,0290";"3,7967";"3,0218";"1,4177";"1,1183"
"46,2290";"3,8130";"3,0197";"1,4171";"1,1183"
"46,4290";"3,8297";"3,0185";"1,4165";"1,1280"
"46,6290";"3,8465";"3,0193";"1,4158";"1,1288"
"46,8290";"3,8633";"3,0203";"1,4153";"1,1292"
"47,0290";"3,8799";"3,0191";"1,4148";"1,1295"
"47,2290";"3,8965";"3,0188";"1,4144";"1,1298"
"47,4290";"3,9134";"3,0210";"1,4144";"1,1299"
"47,6290";"3,9299";"3,0209";"1,4141";"1,1299"
"47,8290";"3,9463";"3,0181";"1,4139";"1,1303"
"48,0290";"3,9631";"3,0182";"1,4136";"1,1304"
"48,2290";"3,9800";"3,0198";"1,4137";"1,1304"
"48,4290";"3,9966";"3,0197";"1,4134";"1,1304"
"48,6290";"4,0131";"3,0182";"1,4138";"1,1307"
"48,8290";"4,0300";"3,0190";"1,4136";"1,1309"
"49,0290";"4,0468";"3,0208";"1,4134";"1,1311"
"49,2290";"4,0632";"3,0197";"1,4131";"1,1315"
"49,4290";"4,0797";"3,0179";"1,4176";"1,1317"
"49,6290";"4,0965";"3,0181";"1,4214";"1,1320"
"49,8290";"4,1133";"3,0190";"1,4215";"1,1321"
"50,0290";"4,1299";"3,0190";"1,4216";"1,1323"
"50,2290";"4,1465";"3,0173";"1,4216";"1,1338"
"50,4290";"4,1634";"3,0188";"1,4217";"1,1358"
"50,6290";"4,1801";"3,0203";"1,4216";"1,1614"
"50,8290";"4,1964";"3,0186";"1,4217";"1,1646"
"51,0290";"4,2129";"3,0167";"1,4216";"1,1662"
"51,2290";"4,2299";"3,0175";"1,4216";"1,1673"
"51,4290";"4,2467";"3,0185";"1,4216";"1,1687"
"51,6290";"4,2632";"3,0176";"1,4215";"1,1703"
"51,8290";"4,2799";"3,0171";"1,4217";"1,1714"
"52,0290";"4,2967";"3,0184";"1,4214";"1,1728"
"52,2290";"4,3133";"3,0194";"1,4213";"1,1746"
"52,4290";"4,3297";"3,0173";"1,4213";"1,1758"
"52,6290";"4,3463";"3,0158";"1,4213";"1,1771"
"52,8290";"4,3632";"3,0169";"1,4214";"1,1786"
"53,0290";"4,3800";"3,0182";"1,4213";"1,1798"
"53,2290";"4,3965";"3,0164";"1,4213";"1,1819"
"53,4290";"4,4132";"3,0161";"1,4212";"1,1832"
"53,6290";"4,4302";"3,0181";"1,4212";"1,1844"
"53,8290";"4,4466";"3,0180";"1,4211";"1,1855"
"54,0290";"4,4630";"3,0155";"1,4211";"1,1863"
"54,2290";"4,4798";"3,0155";"1,4210";"1,1871"
"54,4290";"4,4966";"3,0165";"1,4210";"1,1877"
"54,6290";"4,5133";"3,0170";"1,4209";"1,1884"
"54,8290";"4,5299";"3,0155";"1,4208";"1,1891"
"55,0290";"4,5466";"3,0156";"1,4209";"1,1898"
"55,2290";"4,5634";"3,0174";"1,4208";"1,1903"
"55,4290";"4,5798";"3,0169";"1,4207";"1,1941"
"55,6290";"4,5962";"3,0142";"1,4207";"1,1969"
"55,8290";"4,6131";"3,0142";"1,4207";"1,1980"
"56,0290";"4,6300";"3,0157";"1,4207";"1,1987"
"56,2290";"4,6466";"3,0155";"1,4207";"1,1992"
"56,4290";"4,6631";"3,0138";"1,4207";"1,1996"
"56,6290";"4,6800";"3,0155";"1,4207";"1,2001"
"56,8290";"4,6967";"3,0162";"1,4208";"1,2005"
"57,0290";"4,7131";"3,0149";"1,4208";"1,2009"
"57,2290";"4,7297";"3,0131";"1,4210";"1,2013"
"57,4290";"4,7465";"3,0135";"1,4208";"1,2015"
"57,6290";"4,7633";"3,0147";"1,4207";"1,2018"
"57,8290";"4,7798";"3,0141";"1,4206";"1,2021"
"58,0290";"4,7965";"3,0130";"1,4207";"1,2023"
"58,2290";"4,8135";"3,0151";"1,4206";"1,2025"
"58,4290";"4,8301";"3,0154";"1,4207";"1,2027"
"58,6290";"4,8463";"3,0132";"1,4206";"1,2030"
"58,8290";"4,8630";"3,0118";"1,4207";"1,2033"
"59,0290";"4,8799";"3,0131";"1,4206";"1,2036"
"59,2290";"4,8966";"3,0137";"1,4206";"1,2038"
"59,4290";"4,9131";"3,0123";"1,4207";"1,2040"
"59,6290";"4,9300";"3,0122";"1,4207";"1,2042"
"59,8290";"4,9468";"3,0137";"1,4207";"1,2046"
"60,0290";"4,9633";"3,0136";"1,4207";"1,2048"
"60,2290";"4,9796";"3,0115";"1,4206";"1,2050"
"60,4290";"4,9963";"3,0105";"1,4207";"1,2051"
"60,6290";"5,0132";"3,0114";"1,4206";"1,2053"
"60,8290";"5,0300";"3,0121";"1,4206";"1,2054"
"61,0290";"5,0465";"3,0107";"1,4206";"1,2054"
"61,2290";"5,0633";"3,0109";"1,4207";"1,2055"
"61,4290";"5,0801";"3,0129";"1,4209";"1,2056"
"61,6290";"5,0966";"3,0119";"1,4209";"1,2058"
"61,8290";"5,1129";"3,0097";"1,4210";"1,2058"
"62,0290";"5,1298";"3,0094";"1,4211";"1,2059"
"62,2290";"5,1467";"3,0107";"1,4212";"1,2060"
"62,4290";"5,1632";"3,0105";"1,4212";"1,2061"
